,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,hourly,employer_provided,min_salary,max_salary,avg_salary,company_txt,job_state,age,python_yn,R_yn,spark,aws,excel,job_simp,seniority,desc_len
0,Data Scientist,$64K - $106K (Glassdoor est.),"Overview
Each day U.S. Customs and Border Protection (CBP) oversees the massive flow of people, capital, and products that enter and depart the United States via air, land, sea, and cyberspace. The volume and complexity of both physical and virtual border crossings require the application of solutions to promote efficient trade and travel. Further, effective solutions help CBP ensure the movement of people, capital, and products is legal, safe, and secure.
As a Data Scientist on our team, a proven track record of delivering production ready decision support tools and applications employed in the field and by mission-support entities. Further, highly competitive applicants will have a demonstrated capacity to: work closely and collaboratively with mission stakeholders; respond to emergent, mission-driven changes in priorities and expected outcomes; and, apply new and emerging tools and techniques.",4.3,"ManTech International Corporation
4.3","Alexandria, VA",5001 to 10000 Employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),0,0,64,106,85.0,ManTech International Corporation,VA,52,0,0,0,0,0,data scientist,na,909
1,Data Scientist,$125K - $154K (Glassdoor est.),"Are you passionate about using data, finding insights, and trying to explain why things are what they are? If so, read on.

As part of the advanced analytics team, the Data Scientist will be a key player on an innovative team that develops and provides actionable insights across the organization. S/he will help to evolve existing forecasting methodologies across different parts of the organization and develop sophisticated models, using machine learning algorithms and advanced analytics. This role will be responsible for developing long and short-term product demand forecasts in multiple markets and across multiple channels to help drive down supply chain costs (freight, inventory levels). The successful individual will conduct multiple tasks and projects simultaneously, maintain strong relationships with stakeholders, and own deliverables end to end.

Essential Functions and Key Responsibilities:
TaylorMade Golf Company is an equal opportunity employer. All qualified applicants receive consideration for employment without regard to race, religious creed, color, national origin or ancestry, physical or mental disability, medical condition, genetic information, marital status, sex, pregnancy, gender, gender identity, gender expression, age, sexual orientation, military and veteran status or any other basis protected by federal, state or local law, ordinance, or regulation.",4.3,"TaylorMade Golf
4.3","Carlsbad, CA",1001 to 5000 Employees,1979,Company - Private,Consumer Products Manufacturing,Manufacturing,$500 million to $1 billion (USD),0,0,125,154,139.5,TaylorMade Golf,CA,41,0,0,0,0,0,data scientist,na,1394
2,"Data Scientist, LiveRamp Safe Haven",$140K - $150K (Employer est.),"LiveRamp is the leading data connectivity platform. We are committed to connecting the world's data safely and effectively, advancing innovation, and empowering people to do good. Our platform powers customer experiences centered around the needs and concerns of real people, keeping the Internet open for all. We enable individuals around the world to connect with the brands and products they love. LiveRampers thrive on solving challenging problems for the good of humanity—and we're always looking for smart, kind, and creative people to help us get there.
Mission: LiveRamp makes it safe and easy for businesses to use data effectively.
LiveRamp is currently ramping up its Safe Haven business in the U.S. and is in need of skilled data scientists who can tell our customers a story with their data. You'll work directly with our largest and most complex clients' datasets and data teams to help them derive value from the newly unlocked potential that Safe Haven provides them. In this capacity you will work with vast amounts of data ranging from retail transaction data to online exposure data and you'll help our customers see the trends and paint a picture of what it all means.",4.3,"LiveRamp
4.3","San Francisco, CA",1001 to 5000 Employees,2005,Company - Public,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),0,0,140,150,145.0,LiveRamp,CA,15,0,0,0,0,0,data scientist,na,1188
3,Senior Bioinfo Scientist,$66K - $138K (Glassdoor est.),"Conduct bioinformatic analysis on research projects as a bioinformatics team member. Should have experience developing new
analytic approaches, software and pipelines to explore and apply meaningful approaches to complex human disease, such as cancer, diabetes and heart disease, and its impact on public health. Experience working with large scale biomedical data and hands on experience developing software or information systems to manage and analyze biomedical data. Working with Next and Third generation sequence data, proteomic data and microarray data from a tremendous breadth of clinical areas to gain new insights into human disease.

About Inova
Inova is Northern Virginia’s leading nonprofit healthcare provider, recognized in 2019 and 2020 by U.S. News & World Report, which named Inova Fairfax Hospital the #1 hospital in the Washington, DC region. Each of Inova’s five hospitals holds a 5-star rating from the Centers for Medicare & Medicaid Services (CMS), distinguishing Inova as the highest-rated large health system in the U.S., and the only system to have all hospitals receive five stars. All five Inova hospitals were awarded ‘A’ grades for the spring 2020 Leapfrog Hospital Safety Grades, recognizing Inova’s achievements in protecting patients from harm and providing safer healthcare. Inova Fairfax Medical Campus was named to the Fortune/IBM Watson Health 100 Top Hospitals list, ranking in the top 10 nationwide among Major Teaching Hospitals. Our mission is to provide world-class healthcare – every time, every touch – to each person in every community we have the privilege to serve. Inova’s 18,000 team members serve more than 2 million individuals annually through an integrated network of hospitals, primary and specialty care practices, emergency and urgent care centers, outpatient services and destination institutes. Inova is home to Northern Virginia’s only Level 1 Trauma Center and Level 4 Neonatal Intensive Care Unit. Its hospitals have a total of 1,936 licensed beds. More information and statistics about Inova can be found at www.inova.org.

IND2",3.8,"Inova Health System
3.8","Falls Church, VA",10000+ Employees,1956,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$10 to $25 million (USD),0,0,66,138,102.0,Inova Health System,VA,64,0,0,0,0,0,na,senior,2092
4,Scientist II,$132K - $144K (Glassdoor est.),"Job Title: Scientist II
Department: Product Development
Purpose of the job: To develop a quantitative characterization of the Decision Sciences muon tomography systems, including metrics to characterize hardware, algorithms, and operational performance using tomographic images.
Citizenship Requirement: U.S. Citizenship required (defined by Federal contract)
Preferred Education: Advanced degree in a quantitative field such as Computer Science, Computer Engineering, Mathematics, Physics a plus or possess relevant experience in lieu of education",2.5,"Decision Sciences
2.5","Poway, CA",1 to 50 Employees,-1,Advertising & Marketing,Business Services,Less than $1 million (USD),-1,0,0,132,144,138.0,Decision Sciences,CA,-1,0,0,0,0,0,na,na,548
5,Product Development Scientist,$61K - $84K (Glassdoor est.),"Product Development Scientist
Zentis is Europe's number one fruit processing company and one of the leading brand manufacturers of jams, sweets and custard-based dessert. The Company's North American operations are located in Philadelphia, Pennsylvania and Plymouth, Indiana, where we produce fruit and dairy preparations for a variety of customers including yogurt, ice cream and bakery manufacturers.
The Product Development Scientist is responsible for developing new products and technologies with strategically importance to Zentis, ultimately leading to the growth and stability of the business. This is accomplished by fostering close interactions with Sales and Zentis customers to effectively manage projects and develop new business.
The Scientist is also responsible for strategically influencing the business by monitoring the external market for consumer trends, new ingredients and processing technologies. As an active participant in the global Zentis R&D community, the Scientist stays current on internal Zentis development projects and innovation so that U.S. customers can benefit from Zentis’s global presence. Areas of focus include beverages, ice cream, bakery fillings and glazes and dairy or dairy-alternative product applications.",-1.0,Zentis North America,"Plymouth, IN",-1,-1,-1,-1,-1,-1,0,0,61,84,72.5,Zentis North America,IN,-1,0,0,0,0,0,na,na,1255
6,Data & Analytics Consultant,$77K - $118K (Glassdoor est.),"WHO WE LOOK FOR

An SEI Consultant is a master communicator and active listener who understands how to navigate an audience. Self-aware, almost to a fault, SEI consultants keenly understand how to adjust their approach based on the situation. Following a logical, fact-based approach, our consultants possess the superior ability to see correlations others may not, ask the right questions and drive solutions.

As super-connectors, our consultants connect not only people, but data, trends and experiences. Mature, humble, and genuine, SEI Consultants frequently go above and beyond for both their clients and their colleagues. SEI Consultants are ethical and trustworthy individuals who do what they say. SEI Consultants have an insatiable curiosity and love to learn. These individuals are commonly tech savvy and early adopters. Their passion for learning is infectious and excites others.

As every project is different, an SEI Consultant must be with unexpected situations. An SEI Consultant must be at ease with ambiguity because although a client knows that a problem exists – they need SEI to figure it out and drive a solution. SEI Consultants define ambition differently. SEI Consultants are who like to hang out with colleagues outside of work. Whether it be cooking, traveling, hiking, or volunteering, SEI Consultants enjoy working with genuine, thoughtful folks who want to steer clear of the traditional grind and share the joy of day-to-day life and activities with colleagues, friends and family.



Our consultants work with clients at all levels of the organization, from the C-suite to the shop floor, helping them to deliver on their most strategic initiatives. We’re known for making realistic, data-driven decisions that deliver value in tangible ways to our clients. Our clients ask for us on projects that require a superior combination of technical and business capabilities, people and management skills, and a collaborative mindset. We excel in understanding complex programs and strategic initiatives and breaking them into actionable pieces.

We are actively looking for professionals in the following areas:
The ideal candidate will:
Ideal candidates may call themselves Data Engineers, Data Scientists and Analysts and Data Governance professionals. Experience may include but is not limited to the following:",4.6,"SEI
4.6","Atlanta, GA",201 to 500 Employees,1992,Company - Private,Consulting,Business Services,$50 to $100 million (USD),0,0,77,118,97.5,SEI,GA,28,0,0,0,0,1,na,na,2342
7,Staff Data Scientist,$101K - $161K (Glassdoor est.),"Alteryx is searching for a Staff Data Scientist in our Boston office.
We’re looking for problem solvers, innovators, and dreamers who are searching for anything but business as usual. Like us, you’re a high performer who’s an expert at your craft, constantly challenging the status quo. You value inclusivity and want to join a culture that empowers you to show up as your authentic self. You know that success hinges on commitment, that our differences make us stronger, and that the finish line is always sweeter when the whole team crosses together.
Alteryx Innovation Labs
The Innovation Labs office, Alteryx's first office presence in Boston, was started earlier this year by the acquisition of MIT-spinout Feature Labs . This rapidly growing team combines the excitement of being part of a fast-paced, innovative startup with the resources, market penetration, and wisdom of a data analytics market leader. Our goal is to turbo-charge machine learning and data science efforts on the Alteryx platform, and to enable anyone to solve dynamic problems. We are working on high-impact, high-visibility projects, and we’re looking for collaborative and knowledge-hungry teammates who want to join us as we work to democratize machine learning.",3.6,"Alteryx, Inc.
3.6","Boston, MA",1001 to 5000 Employees,1997,Company - Public,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),0,0,101,161,131.0,"Alteryx, Inc.",MA,23,0,0,0,0,0,data scientist,na,1243
8,Data Analyst,$40K - $73K (Glassdoor est.),"Data Analyst

Role Responsibilities

Responsible for building brighter financial futures by providing data to aid in business decision-making and improved efficiency in the following ways:
designs reports, spreadsheets, visualizations, dashboards and other data output, converting complex data and findings into understandable tables, charts, and written reports, as necessary;",3.8,"Texas Trust Credit Union
3.8","Arlington, TX",201 to 500 Employees,1936,Company - Private,Banks & Credit Unions,Finance,$2 to $5 billion (USD),0,0,40,73,56.5,Texas Trust Credit Union,TX,84,0,0,0,0,0,analyst,na,377
9,Data Scientist - ETL Pipelining,$117K - $138K (Glassdoor est.),"At Bloomberg, our products are fueled by powerful information. We combine data and context to paint the whole picture for our clients, around the clock - from around the world. In Global Data, we""re responsible for delivering this data, news and analytics through innovative technology - quickly and accurately.

Our Global Data team drives the algorithms and analytics at the core of what we do. Working across industries and asset classes, we draw on expertise from all backgrounds to identify the most impactful insights for our clients. We build on our knowledge of data trends to determine how customer needs might change over time, and code the foundation to support those changes.

Whether it""s providing datasets to track market-moving economic events, or quantifying extreme weather effects on companies, we write the programs, analyze patterns, and make recommendations to grow business success across the firm. The entire organization utilizes Global Data to forecast, set, and achieve their own goals. Our work leads directly to client satisfaction, which contributes to Bloomberg""s profitability and ability to keep innovating.

We""re looking to hire qualified professionals into either our Economics Data Team or our Geospatial Data Team. Both of these teams sit under our Global Data umbrella, and work to synthesize meaningful solutions for our clients. These teams are looking for professionally experienced individuals to join their ranks and add on to the great wealth of knowledge we have in-house.







Apply if you think we're a good match. We'll get in touch to let you know what the next steps are.

Bloomberg is committed to diversity. It drives our innovation. At Bloomberg, you'll have the opportunity to go above and beyond and to take risks. You'll be a part of an organization that is entering new markets, launching new ventures, and pushing boundaries. Our ever-expanding array of technology, data, news, and media services champions innovation and empowers clients - and offers nearly limitless opportunities for career growth.

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. We bring out the best in each other.",4.1,"Bloomberg
4.1","Princeton, NJ",10000+ Employees,1981,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,0,0,117,138,127.5,Bloomberg,NJ,39,0,0,0,0,0,data scientist,na,2339
