,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,Data Scientist,$64K - $106K (Glassdoor est.),"Overview
Each day U.S. Customs and Border Protection (CBP) oversees the massive flow of people, capital, and products that enter and depart the United States via air, land, sea, and cyberspace. The volume and complexity of both physical and virtual border crossings require the application of solutions to promote efficient trade and travel. Further, effective solutions help CBP ensure the movement of people, capital, and products is legal, safe, and secure.
As a Data Scientist on our team, a proven track record of delivering production ready decision support tools and applications employed in the field and by mission-support entities. Further, highly competitive applicants will have a demonstrated capacity to: work closely and collaboratively with mission stakeholders; respond to emergent, mission-driven changes in priorities and expected outcomes; and, apply new and emerging tools and techniques.",4.3,"ManTech International Corporation
4.3","Alexandria, VA",5001 to 10000 Employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD)
1,Principal Data Scientist,-1,"Working out of our Chevy Chase, MD/Washington DC office, GEICO's Data Science team uses predictive analytics and innovative machine learning models to create value from data. We solve problems across GEICO, from Marketing to Claims and Underwriting, and are responsible for developing and driving strategic modeling initiatives. We see our projects through the entire data science lifecycle, from problem definition to data exploration, data munging, modeling, analysis, and deployment into production systems. We maintain a close partnership with IT to ensure that our models can be deployed quickly and monitored in a flexible deployment framework.
As a Principal Data Scientist, you will work with a talented and diverse team of data scientists with responsibility to:
Coordinate project teams of data scientists and supporting roles, acting as the primary point of contact in delivering end-to-end innovative, high-quality data solutions with measurable business value",3.5,"GEICO
3.5","Chevy Chase, MD",10000+ Employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD)
2,Clinical Genetic Scientist,-1,"Experience and Qualifications:
· Familiarity with and experience in molecular genetics testing methodologies.
· Familiarity with databases, tools, and resources commonly used in interpretation of genomic data.
· Excellent attention to detail; strong problem solving and decision making skills.
· Ability to work on multiple assignments concurrently within established timeframes.
· Must pay great attention to detail and communicate effectively.
Key Responsibilities:",Laboratory,SMA Medical Laboratory,"Feasterville Trevose, PA",-1,-1,-1,-1,-1,-1
3,Data Analyst,-1,"Join a quality focused, team oriented, growing organization. Set in beautiful Anchorage, Alaska this is an in-office job working with a dynamic team in a environment that ensures the highest safety measure.
A robust benefit plan includes competitive pay, relocation/sign-on bonus, excellent benefits package including medical, dental, flexible spending accounts, life insurance, voluntary insurance and vision coverage. 4-weeks of PTO in addition to 8 paid holidays per year. And many other perks as part of an employee and patient satisfaction centered environment.
JOB TITLE: Data Analyst
GENERAL SUMMARY OF DUTIES: Responsible for collection of qualitative data from all available system in order to improve operational efficiencies. Maintenance and update of systems, creation of reporting platforms with the goal of improved organizational efficiency.
SUPERVISION RECEIVED: Reports to Director of Finance
SUPERVISION EXERCISED: None",3.0,"Alaska Heart and Vascular Institute
3.0","Anchorage, AK",51 to 200 Employees,Company - Private,$10 to $25 million (USD),-1,-1,-1
4,Senior Data Scientist,-1,"Working out of our Chevy Chase, MD/Washington DC office, GEICO’s Data Science team uses predictive analytics and innovative machine learning models to create value from data. We solve problems across GEICO, from Marketing to Claims and Underwriting, and are responsible for developing and driving strategic modeling initiatives. We see our projects through the entire data science lifecycle, from problem definition to data exploration, data munging, modeling, analysis, and deployment into production systems. We maintain a close partnership with IT to ensure that our models can be deployed quickly and monitored in a flexible deployment framework.
As a Senior Data Scientist, you will serve as a technical and thought leader on this diverse and highly skilled team. You will design and develop inventive solutions to drive innovation and delivery of organizational value. You’ll synthesize large datasets and solve complex problems through the use of advanced machine learning and statistical modeling. You’ll work in a highly collaborative, team environment, guiding and mentoring junior data scientists and collaborating with multiple stakeholders. You will assist management in the communication of insights and the implementation of impactful data science solutions across the organization.",3.5,"GEICO
3.5","Chevy Chase, MD",10000+ Employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD)
5,Data Scientist,$125K - $154K (Glassdoor est.),"Are you passionate about using data, finding insights, and trying to explain why things are what they are? If so, read on.

As part of the advanced analytics team, the Data Scientist will be a key player on an innovative team that develops and provides actionable insights across the organization. S/he will help to evolve existing forecasting methodologies across different parts of the organization and develop sophisticated models, using machine learning algorithms and advanced analytics. This role will be responsible for developing long and short-term product demand forecasts in multiple markets and across multiple channels to help drive down supply chain costs (freight, inventory levels). The successful individual will conduct multiple tasks and projects simultaneously, maintain strong relationships with stakeholders, and own deliverables end to end.

Essential Functions and Key Responsibilities:
TaylorMade Golf Company is an equal opportunity employer. All qualified applicants receive consideration for employment without regard to race, religious creed, color, national origin or ancestry, physical or mental disability, medical condition, genetic information, marital status, sex, pregnancy, gender, gender identity, gender expression, age, sexual orientation, military and veteran status or any other basis protected by federal, state or local law, ordinance, or regulation.",4.3,"TaylorMade Golf
4.3","Carlsbad, CA",1001 to 5000 Employees,1979,Company - Private,Consumer Products Manufacturing,Manufacturing,$500 million to $1 billion (USD)
6,Research Scientist,-1,"Research Scientist, Bioanalysis
Prelude Therapeutics is a biopharmaceutical company focused on discovery and development of innovative small molecule therapeutics targeting novel pathways for the treatment of cancer and rare diseases. Prelude has assembled a world-class team with a passion for scientific innovation and a commitment to developing novel therapies.
Prelude offers a vibrant and collegial work environment and excellent career growth opportunities. Prelude is ideally located within 25 minutes from the Philadelphia International Airport at the Delaware Innovation Space, an emerging research campus in the DuPont Experimental Station.
Responsibilities and Duties:
Seeking an experienced and highly motivated Research Scientist with a background in quantitative bioanalysis by LC-MS. This individual will be responsible for the development and/or qualification of sensitive LC-MS/MS methods for our small molecule candidates, as well as the conduct of metabolite ID studies to aid in directing our medicinal chemistry teams. To be considered for this position, the candidate must have a BS/MS in analytical chemistry or equivalent discipline with 5 or more years of experience with quantitative bioanalytical methods development and structure identification. Demonstrated expertise and direct experience with sample preparation using liquid/liquid extraction, protein precipitation, and solid phase extraction; HPLC separations; and LC-MS and triple quadrupole LC-MS/MS equipment, computerized data acquisition, and integrated automation systems are required. This position will interact primarily with discovery groups, however, collaboration with the development scientists in both GLP and non-GLP environments may be required. Excellent oral and written communication skills are required.",Incorporated,Prelude Therapeutics Incorporated,"Wilmington, DE",-1,-1,-1,-1,-1,-1
7,"Data Scientist, LiveRamp Safe Haven",$140K - $150K (Employer est.),"LiveRamp is the leading data connectivity platform. We are committed to connecting the world's data safely and effectively, advancing innovation, and empowering people to do good. Our platform powers customer experiences centered around the needs and concerns of real people, keeping the Internet open for all. We enable individuals around the world to connect with the brands and products they love. LiveRampers thrive on solving challenging problems for the good of humanity—and we're always looking for smart, kind, and creative people to help us get there.
Mission: LiveRamp makes it safe and easy for businesses to use data effectively.
LiveRamp is currently ramping up its Safe Haven business in the U.S. and is in need of skilled data scientists who can tell our customers a story with their data. You'll work directly with our largest and most complex clients' datasets and data teams to help them derive value from the newly unlocked potential that Safe Haven provides them. In this capacity you will work with vast amounts of data ranging from retail transaction data to online exposure data and you'll help our customers see the trends and paint a picture of what it all means.",4.3,"LiveRamp
4.3","San Francisco, CA",1001 to 5000 Employees,2005,Company - Public,Computer Hardware & Software,Information Technology,$100 to $500 million (USD)
8,Spark/Big Data Engineer,-1,"The Data Consumption team of Data Security & Infrastructure (DSI) is seeking a highly motivated Spark / Big Data Developer to start or continue an IT career on the Big Data Platform project. Teaming up with architects, scrum masters, leads, managers and directors, you will work in an Agile environment to make the data on the Big Data Platform accessible for the needs of the organization through Atomic Models and Analytical Data Stores. In this role, you will coordinate with a variety of IT departments to elicit and translate high level business requirements into detailed system requirements. You will participate in the entire software development lifecycle by writing and executing test plans, finding solutions to issues during development and after deployment. You should be intellectually curious, have a solutions-oriented attitude and enjoy learning new tools and techniques.
Basic Qualifications:
5+ years’ experience with Relational Database Systems and SQL",3.5,"GEICO
3.5","Chevy Chase, MD",10000+ Employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD)
9,Data Scientist,-1,"XL Fleet seeks an experienced Data Scientist to support the data science activity for hybrid electric, plugin hybrid electric and full electric vehicle product lines.

About XL Fleet:

XL Fleet is on a mission to electrify the global fleet of commercial vehicles. We know this mission can only be successfully with the right talent.

XL is a high-growth commercial vehicle technology company. We are developing and producing cutting-edge technology to convert conventional vehicles into hybrids, plug-in hybrids and zero CO2 drive systems to reduce fuel consumption and to generate a compelling return on investment for fleet customers. Our customers include transportation, municipal, and utility fleets.

XL was honored as one of Boston Business Journal's Best Places to Work in 2018. We are an ambitious and small (but rapidly growing) team. We have a state-of-the-art engineering facility in Boston, California and Detroit and a production facility in Quincy, IL. We are looking for high-energy, creative, and ambitious professionals to join our team. We offer a competitive salary, meaningful equity compensation, 401k (with a company match), outstanding health benefits, progressive paid-time off policy, and a fun, productive and team-oriented work environment. We are recruiting candidates who have demonstrated leadership and excellence throughout their careers and are excited by the prospect of tackling the challenges of rapid profitable growth.



Responsibilities
Additional Responsibilities based on experience/interests
Minimum Qualifications
Preferred Qualifications
Contact: please send your resume to careers@xlfleet.com with “Data Scientist” in the subject heading",5.0,"XL Fleet
5.0","Detroit, MI",51 to 200 Employees,2012,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10 to $25 million (USD)
